mol_id,smiles
gdb_1,C
gdb_2,N
gdb_3,O
gdb_4,C#C
gdb_5,C#N
gdb_6,C=O
gdb_7,CC
gdb_8,CO
gdb_9,CC#C
gdb_10,CC#N
gdb_11,CC=O
gdb_12,C(=O)N
gdb_13,CCC
gdb_14,CCO
gdb_15,COC
gdb_16,C1CC1
gdb_17,C1CO1
gdb_18,CC(=O)C
gdb_19,CC(=O)N
gdb_20,C(=O)(N)N
gdb_21,CC(C)C
gdb_22,CC(C)O
gdb_23,C#CC#C
gdb_24,C#CC#N
gdb_25,C(#N)C#N
gdb_26,C#CC=O
gdb_27,C(=O)C#N
gdb_28,C(=O)C=O
gdb_29,CC#CC
gdb_30,CCC#C
gdb_31,CCC#N
gdb_32,C(C#N)N
gdb_33,C#CCO
gdb_34,C(C#N)O
gdb_35,CCC=O
gdb_36,CNC=O
gdb_37,COC=O
gdb_38,C(C=O)O
gdb_39,CCCC
gdb_40,CCCO
gdb_41,CCOC
gdb_42,C(CO)O
gdb_43,CC1CC1
gdb_44,CC1CO1
gdb_45,CN1CC1
gdb_46,C1CC1O
gdb_47,C1CCC1
gdb_48,C1COC1
gdb_49,CC(=NO)C
gdb_50,c1cc[nH]c1
gdb_51,c1cnc[nH]1
gdb_52,c1ccoc1
gdb_53,c1cocn1
gdb_54,CC(C)(C)C
gdb_55,CC(C)(C)O
gdb_56,CC(=O)C#C
gdb_57,CC(=O)C#N
gdb_58,C(#N)C(=N)N
gdb_59,C#CC(=O)N
gdb_60,CC(=O)C=O
gdb_61,C(=O)C(=N)N
gdb_62,C(=O)C(=O)N
gdb_63,CC(C)C#C
gdb_64,CC(C)C#N
gdb_65,CC(N)C#N
gdb_66,CC(O)C#C
gdb_67,CC(O)C#N
gdb_68,CC(C)C=O
gdb_69,CC(O)C=O
gdb_70,CN(C)C=O
gdb_71,CC(=O)CO
gdb_72,CCC(=O)C
gdb_73,CCC(=O)N
gdb_74,CC(=O)NC
gdb_75,CNC(=O)N
gdb_76,COC(C)=N
gdb_77,CC(=O)OC
gdb_78,COC(=O)N
gdb_79,C(C(=O)N)O
gdb_80,[NH3+]CC([O-])=O
gdb_81,CC(C)CO
gdb_82,CC(O)CO
gdb_83,CCC(C)C
gdb_84,CCC(C)O
gdb_85,CC(C)OC
gdb_86,CC1(CC1)C
gdb_87,CC1(CO1)C
gdb_88,CC1(CC1)O
gdb_89,N=C1CCO1
gdb_90,C1CC(=O)C1
gdb_91,C1CNC1=O
gdb_92,C1COC1=O
gdb_93,C1C(=O)CN1
gdb_94,C1C(=O)CO1
gdb_95,CC1CCC1
gdb_96,CC1CCO1
gdb_97,CC1COC1
gdb_98,C1CC(C1)O
gdb_99,C1C(CO1)O
gdb_100,CC1CC1C
gdb_101,CC1CC1O
gdb_102,CC1CN1C
gdb_103,CC1OC1C
